2021-04-01 15:49:08,693 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,695 p=29300 u=nlandsberg |  fatal: [srx380-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.29-249567718975160/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.29-249567718975160/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.29-249567718975160/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_wiVtJB/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_wiVtJB/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host srx380-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:09,001 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:09,003 p=29300 u=nlandsberg |  fatal: [srx380-2]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.62-37162593530410/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.62-37162593530410/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.62-37162593530410/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_Fcq6eA/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_Fcq6eA/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host srx380-2 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:09,034 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:09,035 p=29300 u=nlandsberg |  fatal: [srx320-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.66-273466682486197/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.66-273466682486197/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.66-273466682486197/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_H4yNsu/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_H4yNsu/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host srx320-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:09,052 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:09,055 p=29300 u=nlandsberg |  fatal: [srx320-2]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.68-164077056515312/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.68-164077056515312/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.68-164077056515312/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_sv8DDS/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_sv8DDS/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host srx320-2 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:09,060 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:09,061 p=29300 u=nlandsberg |  fatal: [mx204-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.7-77952661030826/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.7-77952661030826/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306548.7-77952661030826/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_SwtkYC/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_SwtkYC/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host mx204-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
